customer_id,first_name,last_name,date_of_birth,gender
1,Julie,Sam,1989-01-12,F
2,Steve,Ryan,1983-04-03,M
3,Morris,Lois,1993-12-09,M
4,Cathenna,Emily,1977-09-14,F
5,Aaron,Kim,1991-02-18,M
6,Alexander,Scot,1985-02-12,M
7,Anderson,Stewart,1992-01-11,M
8,Floyd,Ted,1993-02-21,M
9,Leo,Travis,1994-03-22,M
10,Melvin,Tracy,1995-04-23,M
11,Roger,Walson,1996-05-24,M
12,Shirley,Wally,1997-06-25,F
13,Solomon,Walter,1998-07-26,M
14,Carol,Vernon,1999-08-27,F
15,Linda,William,1986-09-28,F
16,Chirstine,Willis,1987-10-06,F
17,Catherine,Shad,1988-11-09,F
18,Gloria,Richie,1989-12-04,F
19,Joyce,Paul,1990-06-02,F
20,Sara,Oliver,1991-01-01,F
21,Chirsty,Josh,2004-01-10,M
22,Pheny,Eri,1999-01-29,M
23,Erwin,Tosh,1994-02-03,M
24,Calvin,Willis,1994-02-15,M
25,Moss,Morris,2011-02-18,M
26,Bryan,Collin,2011-02-28,M
27,Cherly,Vernon,1992-03-19,F
28,Du plesis,Chris,1994-04-17,M
29,Watson,Ronald,1991-01-11,M
30,Donack,Dukins,1991-02-19,M
31,James,Robert,1994-04-12,M
32,Chirstoper,Sean,1993-06-21,M
33,Mark,Ethan,1994-05-22,M
34,Jacqueline,Keith,1994-04-23,F
35,Jeffrey,Aaron,1991-02-24,M
36,Kayla,Patrick,1993-02-27,F
37,Samuel,Scott,2000-01-28,M
38,Alexis,Scott,2001-10-31,M
39,Tyler,Edward,2006-11-30,M
40,Adam,Paul,2007-12-31,M
41,Kyle,Mark,2004-11-29,F
42,Roger,Mattew,2008-11-28,M
43,Joe,Daniel,2001-03-27,M
44,Bily,Brian,2002-10-26,M
45,Doris,Walter,1993-12-23,M
46,Louis,Douglas,1997-09-22,M
47,Sophia,Carl,1999-08-11,F
48,Wayne,Noah,1998-07-02,F
49,Russell,Peter,1996-06-01,M
50,Rose,Arthur,1996-05-23,F
